channel,x,y
0,1365.0,665.0
1,3237.5,1767.5
2,1505.0,805.0
3,3132.5,1662.5
4,402.5,1662.5
5,2765.0,1400.0
6,875.0,735.0
7,3290.0,1400.0
8,175.0,735.0
10,822.5,1662.5
11,2555.0,1610.0
12,350.0,1505.0
13,3325.0,805.0
14,525.0,805.0
15,3080.0,1715.0
16,945.0,665.0
17,3255.0,805.0
18,175.0,805.0
19,2922.5,1452.5
20,875.0,665.0
21,2975.0,1610.0
22,455.0,805.0
23,2502.5,1662.5
24,717.5,1557.5
25,2765.0,1610.0
26,1242.5,1662.5
28,665.0,805.0
29,2905.0,805.0
30,455.0,735.0
31,2870.0,1505.0
32,595.0,805.0
33,3027.5,1557.5
34,770.0,1715.0
35,3132.5,1452.5
36,1085.0,805.0
37,3185.0,735.0
38,560.0,1505.0
39,2922.5,1662.5
40,1015.0,805.0
41,3325.0,735.0
42,945.0,805.0
43,3395.0,1452.5
44,1155.0,805.0
45,3255.0,735.0
46,1225.0,805.0
47,2765.0,1820.0
48,595.0,735.0
49,2607.5,1557.5
50,507.5,1557.5
51,2870.0,1715.0
52,175.0,595.0
53,2975.0,735.0
54,455.0,1400.0
55,3342.5,1662.5
56,665.0,735.0
57,3395.0,805.0
58,1365.0,805.0
59,2607.5,1767.5
60,735.0,805.0
61,3255.0,665.0
62,1137.5,1767.5
64,1085.0,735.0
65,2712.5,1662.5
66,665.0,665.0
67,2660.0,1505.0
68,805.0,805.0
69,3325.0,665.0
70,875.0,1820.0
71,3237.5,1400.0
72,385.0,805.0
73,3237.5,1557.5
74,455.0,1610.0
75,3027.5,1767.5
76,315.0,805.0
77,2835.0,665.0
78,927.5,1557.5
79,3290.0,1715.0
80,245.0,805.0
82,717.5,1767.5
83,2555.0,1820.0
84,805.0,735.0
85,2817.5,1557.5
86,612.5,1662.5
87,2975.0,1820.0
88,735.0,735.0
89,3255.0,595.0
90,875.0,1610.0
91,2817.5,1400.0
92,1085.0,665.0
93,3185.0,595.0
94,1137.5,1557.5
95,3080.0,1505.0
96,245.0,735.0
97,3605.0,805.0
98,1242.5,1872.5
99,3395.0,1400.0
100,385.0,735.0
101,3535.0,805.0
102,402.5,1452.5
103,2765.0,1452.5
104,315.0,735.0
105,3465.0,805.0
106,665.0,1400.0
107,3027.5,1400.0
108,1085.0,595.0
109,3045.0,805.0
110,560.0,1715.0
111,2922.5,1872.5
112,805.0,665.0
113,3185.0,805.0
114,1032.5,1662.5
115,3395.0,1662.5
116,735.0,665.0
117,3115.0,805.0
120,315.0,665.0
121,3465.0,735.0
122,507.5,1767.5
123,3447.5,1400.0
124,245.0,665.0
125,3605.0,735.0
126,350.0,1400.0
127,3342.5,1872.5
128,525.0,525.0
129,3395.0,735.0
130,455.0,1505.0
131,2817.5,1610.0
132,315.0,315.0
133,3185.0,525.0
134,560.0,1610.0
135,3447.5,1505.0
136,385.0,315.0
137,2835.0,595.0
138,402.5,1767.5
139,3342.5,1505.0
140,245.0,315.0
142,350.0,1452.5
143,3395.0,1820.0
144,525.0,595.0
145,2625.0,525.0
146,612.5,1557.5
147,2975.0,1400.0
148,595.0,595.0
149,2695.0,525.0
150,665.0,1820.0
152,455.0,595.0
153,3185.0,455.0
154,1085.0,1505.0
155,3447.5,1767.5
156,245.0,385.0
158,980.0,1715.0
160,315.0,385.0
161,3465.0,455.0
162,822.5,1452.5
163,3185.0,1452.5
164,385.0,385.0
165,3535.0,455.0
166,402.5,1400.0
167,2922.5,1505.0
168,455.0,665.0
169,2975.0,805.0
170,665.0,1505.0
171,3132.5,1872.5
172,525.0,665.0
173,2625.0,595.0
174,875.0,1400.0
175,3080.0,1452.5
176,595.0,665.0
177,3115.0,525.0
178,927.5,1452.5
179,2975.0,1452.5
180,385.0,455.0
181,3535.0,525.0
182,507.5,1452.5
183,3185.0,1820.0
184,245.0,455.0
185,3605.0,525.0
186,350.0,1610.0
188,315.0,455.0
189,3465.0,525.0
190,402.5,1872.5
191,3447.5,1610.0
192,735.0,455.0
193,2695.0,665.0
194,1190.0,1715.0
196,805.0,455.0
197,2765.0,665.0
198,1032.5,1872.5
